Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1702726655,2023-12-16T11:37:35Z,ASL651,"55.979332,37.413639",0,0,165
1702726662,2023-12-16T11:37:42Z,ASL651,"55.979126,37.413727",0,7,165
1702726669,2023-12-16T11:37:49Z,ASL651,"55.978901,37.413837",0,8,165
1702726679,2023-12-16T11:37:59Z,ASL651,"55.9786,37.413982",0,6,163
1702726687,2023-12-16T11:38:07Z,ASL651,"55.978355,37.414089",0,7,165
1702726702,2023-12-16T11:38:22Z,ASL651,"55.977802,37.414356",0,0,163
1702726709,2023-12-16T11:38:29Z,ASL651,"55.977493,37.414501",0,10,165
1702726716,2023-12-16T11:38:36Z,ASL651,"55.977264,37.414608",0,7,165
1702726723,2023-12-16T11:38:43Z,ASL651,"55.977005,37.414734",0,8,165
1702726740,2023-12-16T11:39:00Z,ASL651,"55.976749,37.415272",0,0,109
1702726747,2023-12-16T11:39:07Z,ASL651,"55.976715,37.415604",0,6,104
1702726755,2023-12-16T11:39:15Z,ASL651,"55.976624,37.415829",0,3,120
1702726770,2023-12-16T11:39:30Z,ASL651,"55.976372,37.416042",0,6,157
1702726783,2023-12-16T11:39:43Z,ASL651,"55.976051,37.416626",0,8,112
1702726811,2023-12-16T11:40:11Z,ASL651,"55.976482,37.419518",0,0,75
1702726817,2023-12-16T11:40:17Z,ASL651,"55.976578,37.420162",0,11,75
1702726826,2023-12-16T11:40:26Z,ASL651,"55.976704,37.421078",0,14,75
1702726834,2023-12-16T11:40:34Z,ASL651,"55.976856,37.421986",0,16,75
1702726850,2023-12-16T11:40:50Z,ASL651,"55.977104,37.423679",0,0,75
1702726859,2023-12-16T11:40:59Z,ASL651,"55.977238,37.424606",0,14,73
1702726867,2023-12-16T11:41:07Z,ASL651,"55.977379,37.425488",0,14,75
1702726874,2023-12-16T11:41:14Z,ASL651,"55.977493,37.426365",0,16,75
1702726882,2023-12-16T11:41:22Z,ASL651,"55.977646,37.42733",0,15,73
