Timestamp,UTC,callsign,altitude,groundspeed,Direction,anomaly,latitude,longitude,x,y,z
1702728158,2023-12-16T12:02:38Z,ASL651,30000,408,280,0.0,56.237045,35.313339,2912807.3186179,2063400.7983281093,5304096.326145377
1702728199,2023-12-16T12:03:19Z,ASL651,30000,428,280,0.0,56.251175,35.172287,2916803.9283040324,2055466.6944417397,5304974.6628267225
1702728222,2023-12-16T12:03:42Z,ASL651,30025,428,280,0.0,56.258274,35.101109,2918826.2577663306,2051469.85508849,5305436.61182114
1702728290,2023-12-16T12:04:50Z,ASL651,30000,428,280,0.0,56.279724,34.882557,2924981.7614672873,2039171.9880859195,5306748.317776721
1702728890,2023-12-16T12:14:50Z,ASL651,30000,54,280,1.0,56.459759,32.844238,2981570.841042649,1924751.0787829421,5317902.974235749
1702729496,2023-12-16T12:24:56Z,ASL651,29975,54,256,1.0,54.740753,31.893148,3147797.0878311014,1958808.8690743868,5209252.907612965
1702729499,2023-12-16T12:24:59Z,ASL651,29975,54,260,1.0,54.740662,31.891937,3147845.544394597,1958746.727594087,5209247.032304208
1702729502,2023-12-16T12:25:02Z,ASL651,29975,54,265,1.0,54.74057,31.890484,3147902.3501307587,1958671.337414533,5209241.092418291
1702729505,2023-12-16T12:25:05Z,ASL651,29975,54,272,1.0,54.740589,31.889067,3147949.316411443,1958592.5684061637,5209242.319134959
1702729508,2023-12-16T12:25:08Z,ASL651,29975,54,276,1.0,54.740662,31.887737,3147989.119571429,1958515.973201484,5209247.032304208
1702729512,2023-12-16T12:25:12Z,ASL651,29975,54,281,1.0,54.740799,31.886444,3148022.693395913,1958438.3226887586,5209255.877544271
1702729514,2023-12-16T12:25:14Z,ASL651,29975,54,286,1.0,54.741009,31.885155,3148050.4678337714,1958357.3699521448,5209269.435883762
1702729517,2023-12-16T12:25:17Z,ASL651,29975,54,291,1.0,54.741287,31.883989,3148068.7631224752,1958279.8949005483,5209287.384435315
1702729521,2023-12-16T12:25:21Z,ASL651,30000,54,296,1.0,54.741661,31.882574,3148100.3763503446,1958191.7304816071,5209331.944793473
1702729524,2023-12-16T12:25:24Z,ASL651,30000,54,300,1.0,54.742035,31.881493,3148108.317789617,1958114.2949739362,5209356.091085696
1702729527,2023-12-16T12:25:27Z,ASL651,30000,54,306,1.0,54.742447,31.880466,3148111.464978623,1958037.9939145443,5209382.690488151
1702729530,2023-12-16T12:25:30Z,ASL651,30000,54,309,1.0,54.742966,31.879412,3148107.2349354425,1957955.0488338168,5209416.197605332
1702729533,2023-12-16T12:25:33Z,ASL651,30000,53,315,1.0,54.743568,31.878412,3148094.7204981158,1957871.0681755824,5209455.062744589
1702729536,2023-12-16T12:25:36Z,ASL651,30000,54,321,1.0,54.744175,31.877497,3148078.911526116,1957791.5174485217,5209494.250103038
1702729539,2023-12-16T12:25:39Z,ASL651,30000,54,326,1.0,54.744644,31.876911,3148062.5616032905,1957736.6998928029,5209524.527909649
1702729542,2023-12-16T12:25:42Z,ASL651,30000,54,331,1.0,54.745377,31.876184,3148030.553440963,1957661.4029608604,5209571.848389635
1702729545,2023-12-16T12:25:45Z,ASL651,30000,54,336,1.0,54.746082,31.875582,3147996.444174694,1957594.32512517,5209617.36046343
1702729548,2023-12-16T12:25:48Z,ASL651,30000,54,340,1.0,54.746841,31.875135,3147952.8495521285,1957533.1595818084,5209666.357688715
1702729551,2023-12-16T12:25:51Z,ASL651,30000,54,345,1.0,54.747574,31.87475,3147909.151976861,1957476.6548197397,5209713.675618855
1702729555,2023-12-16T12:25:55Z,ASL651,30000,54,350,1.0,54.748352,31.874569,3147854.9936669013,1957429.1879499692,5209763.897538989
1702729558,2023-12-16T12:25:58Z,ASL651,30000,54,354,1.0,54.749176,31.874407,3147796.6175676635,1957380.546352016,5209817.087833481
1702729561,2023-12-16T12:26:01Z,ASL651,30000,54,360,1.0,54.749954,31.874407,3147736.274200214,1957343.0233008482,5209867.307780118
1702729563,2023-12-16T12:26:03Z,ASL651,30000,54,3,1.0,54.750507,31.8745,3147690.2049296475,1957321.461005423,5209903.00338053
1702729567,2023-12-16T12:26:07Z,ASL651,30000,54,9,1.0,54.751251,31.874666,3147626.827034255,1957294.6965552731,5209951.027077127
1702729570,2023-12-16T12:26:10Z,ASL651,30000,54,16,1.0,54.752228,31.875084,3147536.7678114804,1957270.5369142261,5210014.08912167
1702729573,2023-12-16T12:26:13Z,ASL651,30000,54,20,1.0,54.75288,31.8755,3147471.9850057424,1957261.941579912,5210056.172674862
1702729576,2023-12-16T12:26:16Z,ASL651,30000,54,22,1.0,54.753532,31.875999,3147404.3667525705,1957257.9045570684,5210098.255554901
1702729578,2023-12-16T12:26:18Z,ASL651,30000,54,28,1.0,54.753983,31.876427,3147354.7643258157,1957259.6614743911,5210127.364637879
1702729582,2023-12-16T12:26:22Z,ASL651,30000,54,33,1.0,54.754852,31.877316,3147256.9916661773,1957266.577564569,5210183.451962719
1702729585,2023-12-16T12:26:25Z,ASL651,30000,54,39,1.0,54.75544,31.878162,3147182.4834539024,1957284.6838371991,5210221.402201551
1702729588,2023-12-16T12:26:28Z,ASL651,30000,54,41,1.0,54.755951,31.878996,3147114.357463529,1957305.843496605,5210254.382321599
1702729591,2023-12-16T12:26:31Z,ASL651,30000,53,49,1.0,54.7565,31.879982,3147038.091227245,1957333.517032864,5210289.814514268
1702729595,2023-12-16T12:26:35Z,ASL651,30000,54,53,1.0,54.756958,31.881031,3146966.7307515307,1957369.038773321,5210319.373246071
1702729598,2023-12-16T12:26:38Z,ASL651,30000,54,59,1.0,54.757442,31.88249,3146879.346215183,1957425.822699836,5210350.609623484
